Using proactor: IocpProactor
('192.168.43.106', '0.650', '0.258', '-1.817')
('192.168.43.106', '0.649', '0.268', '-1.817')
('192.168.43.106', '0.648', '0.277', '-1.817')
('192.168.43.106', '0.647', '0.388', '-1.817')
('192.168.43.106', '0.646', '0.516', '-1.817')
('192.168.43.106', '0.645', '0.493', '-1.817')
('192.168.43.106', '0.645', '0.470', '-1.817')
('192.168.43.106', '0.644', '0.456', '-1.817')
('192.168.43.106', '0.643', '0.430', '-1.817')
('192.168.43.106', '0.642', '0.417', '-1.817')
('192.168.43.106', '0.642', '0.415', '-1.817')
('192.168.43.106', '0.641', '0.420', '-1.817')
('192.168.43.106', '0.640', '0.443', '-1.817')
('192.168.43.106', '0.639', '0.420', '-1.817')
('192.168.43.106', '0.638', '0.397', '-1.817')
('192.168.43.106', '0.637', '0.385', '-1.817')
('192.168.43.106', '0.636', '0.368', '-1.817')
('192.168.43.106', '0.635', '0.367', '-1.817')
('192.168.43.106', '0.634', '0.347', '-1.817')
('192.168.43.106', '0.633', '0.329', '-1.817')
('192.168.43.106', '0.632', '0.316', '-1.817')
('192.168.43.106', '0.631', '0.314', '-1.817')
('192.168.43.106', '0.630', '0.348', '-1.817')
('192.168.43.106', '0.629', '0.330', '-1.817')
('192.168.43.106', '0.628', '0.315', '-1.817')
('192.168.43.106', '0.627', '0.301', '-1.817')
('192.168.43.106', '0.625', '0.283', '-1.817')
('192.168.43.106', '0.624', '0.317', '-1.817')
('192.168.43.106', '0.623', '0.341', '-1.817')
('192.168.43.106', '0.622', '0.340', '-1.817')
('192.168.43.106', '0.621', '0.321', '-1.817')
('192.168.43.106', '0.620', '0.319', '-1.817')
('192.168.43.106', '0.619', '0.378', '-1.817')
('192.168.43.106', '0.619', '0.401', '-1.817')
('192.168.43.106', '0.618', '0.380', '-1.816')
('192.168.43.106', '0.617', '0.370', '-1.816')
('192.168.43.106', '0.616', '0.427', '-1.816')
('192.168.43.106', '0.616', '0.450', '-1.816')
('192.168.43.106', '0.615', '0.429', '-1.816')
('192.168.43.106', '0.615', '0.463', '-1.816')
('192.168.43.106', '0.614', '0.466', '-1.816')
('192.168.43.106', '0.614', '0.506', '-1.816')
('192.168.43.106', '0.614', '0.530', '-1.816')
('192.168.43.106', '0.613', '0.525', '-1.816')
('192.168.43.106', '0.613', '0.551', '-1.816')
('192.168.43.106', '0.613', '0.615', '-1.816')
('192.168.43.106', '0.613', '0.579', '-1.816')
('192.168.43.106', '0.613', '0.565', '-1.816')
('192.168.43.106', '0.613', '0.546', '-1.816')
('192.168.43.106', '0.612', '0.514', '-1.816')
('192.168.43.106', '0.612', '0.494', '-1.816')
('192.168.43.106', '0.612', '0.511', '-1.816')
('192.168.43.106', '0.611', '0.509', '-1.816')
('192.168.43.106', '0.611', '0.484', '-1.816')
('192.168.43.106', '0.610', '0.471', '-1.816')
('192.168.43.106', '0.610', '0.482', '-1.816')
('192.168.43.106', '0.609', '0.465', '-1.816')
('192.168.43.106', '0.609', '0.442', '-1.816')
('192.168.43.106', '0.608', '0.424', '-1.816')
('192.168.43.106', '0.608', '0.403', '-1.816')
('192.168.43.106', '0.607', '0.403', '-1.816')
('192.168.43.106', '0.606', '0.381', '-1.816')
('192.168.43.106', '0.606', '0.366', '-1.816')
('192.168.43.106', '0.605', '0.344', '-1.816')
('192.168.43.106', '0.604', '0.325', '-1.816')
('192.168.43.106', '0.603', '0.312', '-1.816')
('192.168.43.106', '0.602', '0.353', '-1.816')
('192.168.43.106', '0.602', '0.382', '-1.816')
('192.168.43.106', '0.601', '0.359', '-1.816')
('192.168.43.106', '0.600', '0.340', '-1.816')
('192.168.43.106', '0.599', '0.324', '-1.816')
('192.168.43.106', '0.598', '0.308', '-1.816')
('192.168.43.106', '0.597', '0.289', '-1.816')
('192.168.43.106', '0.596', '0.283', '-1.816')
('192.168.43.106', '0.596', '0.313', '-1.816')
('192.168.43.106', '0.595', '0.294', '-1.816')
('192.168.43.106', '0.594', '0.280', '-1.816')
('192.168.43.106', '0.593', '0.265', '-1.816')
('192.168.43.106', '0.592', '0.259', '-1.816')
('192.168.43.106', '0.591', '0.252', '-1.816')
('192.168.43.106', '0.590', '0.255', '-1.816')
('192.168.43.106', '0.589', '0.245', '-1.816')
('192.168.43.106', '0.588', '0.244', '-1.816')
('192.168.43.106', '0.587', '0.237', '-1.816')
('192.168.43.106', '0.586', '0.229', '-1.816')
('192.168.43.106', '0.585', '0.287', '-1.816')
('192.168.43.106', '0.584', '0.346', '-1.816')
('192.168.43.106', '0.583', '0.334', '-1.816')
('192.168.43.106', '0.583', '0.316', '-1.816')
('192.168.43.106', '0.582', '0.302', '-1.816')
('192.168.43.106', '0.581', '0.288', '-1.816')
('192.168.43.106', '0.580', '0.273', '-1.815')
('192.168.43.106', '0.579', '0.275', '-1.815')
('192.168.43.106', '0.578', '0.323', '-1.815')
('192.168.43.106', '0.578', '0.315', '-1.815')
('192.168.43.106', '0.577', '0.312', '-1.815')
('192.168.43.106', '0.576', '0.355', '-1.815')
('192.168.43.106', '0.576', '0.347', '-1.815')
('192.168.43.106', '0.575', '0.326', '-1.815')
('192.168.43.106', '0.574', '0.318', '-1.815')
('192.168.43.106', '0.574', '0.348', '-1.815')
('192.168.43.106', '0.573', '0.329', '-1.815')
('192.168.43.106', '0.572', '0.312', '-1.815')
('192.168.43.106', '0.571', '0.301', '-1.815')
('192.168.43.106', '0.571', '0.291', '-1.815')
('192.168.43.106', '0.570', '0.274', '-1.815')
('192.168.43.106', '0.569', '0.270', '-1.815')
('192.168.43.106', '0.568', '0.257', '-1.815')
('192.168.43.106', '0.567', '0.250', '-1.815')
('192.168.43.106', '0.566', '0.257', '-1.815')
('192.168.43.106', '0.566', '0.288', '-1.815')
('192.168.43.106', '0.565', '0.296', '-1.815')
('192.168.43.106', '0.564', '0.280', '-1.815')
('192.168.43.106', '0.563', '0.264', '-1.815')
('192.168.43.106', '0.563', '0.258', '-1.815')
('192.168.43.106', '0.562', '0.270', '-1.815')
('192.168.43.106', '0.561', '0.291', '-1.815')
('192.168.43.106', '0.560', '0.329', '-1.815')
('192.168.43.106', '0.560', '0.362', '-1.815')
('192.168.43.106', '0.559', '0.352', '-1.815')
('192.168.43.106', '0.559', '0.348', '-1.815')
('192.168.43.106', '0.558', '0.380', '-1.815')
('192.168.43.106', '0.558', '0.358', '-1.815')
('192.168.43.106', '0.557', '0.337', '-1.815')
('192.168.43.106', '0.557', '0.317', '-1.815')
('192.168.43.106', '0.556', '0.304', '-1.815')
('192.168.43.106', '0.555', '0.312', '-1.815')
('192.168.43.106', '0.555', '0.322', '-1.815')
('192.168.43.106', '0.554', '0.309', '-1.815')
('192.168.43.106', '0.554', '0.354', '-1.815')
('192.168.43.106', '0.553', '0.334', '-1.815')
('192.168.43.106', '0.552', '0.319', '-1.815')
('192.168.43.106', '0.552', '0.370', '-1.815')
('192.168.43.106', '0.552', '0.399', '-1.815')
('192.168.43.106', '0.551', '0.376', '-1.815')
('192.168.43.106', '0.551', '0.356', '-1.815')
('192.168.43.106', '0.550', '0.343', '-1.815')
('192.168.43.106', '0.549', '0.324', '-1.815')
('192.168.43.106', '0.549', '0.308', '-1.815')
('192.168.43.106', '0.548', '0.300', '-1.815')
('192.168.43.106', '0.548', '0.302', '-1.815')
('192.168.43.106', '0.547', '0.298', '-1.815')
('192.168.43.106', '0.546', '0.285', '-1.815')
('192.168.43.106', '0.546', '0.278', '-1.815')
('192.168.43.106', '0.545', '0.276', '-1.815')
('192.168.43.106', '0.544', '0.270', '-1.815')
('192.168.43.106', '0.544', '0.318', '-1.815')
('192.168.43.106', '0.543', '0.352', '-1.815')
('192.168.43.106', '0.543', '0.339', '-1.814')
('192.168.43.106', '0.542', '0.326', '-1.814')
('192.168.43.106', '0.542', '0.318', '-1.814')
('192.168.43.106', '0.541', '0.308', '-1.814')
('192.168.43.106', '0.541', '0.294', '-1.814')
('192.168.43.106', '0.540', '0.293', '-1.814')
